Year,CPI,SALARY,amount_rcvd,salary,other_income,deduction,income_tax,social_fee,civil_contract,total_income
2021,1,1,1,1,1,1,1,1,1,1
2022,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567,0.937383567
2023,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509,1.061725509
2024,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547,1.099537547
2025,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251,1.087322251
2026,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133
2027,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133
2028,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133
2029,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133
2030,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133,1.085651133
